저자명,UID,address,nickname,info1,range1,intro,info2,range2,record,range3
모자이크,12662,mosaic,모자이크｜쏠북ㅣ지식을 꽃 피우다,비교 불가! 학습의 핵심 포인트와 최적의 해결책을 제공합니다.,영어 (중고등),모자이크: 지식을 꽃 피우다,"비교 불가한 고퀄리티 자료를 제공합니다.

모자이크는 다수의 출판 자료를 제작하며, 학생과 선생님의 입장에서 가장 효과적인 학습 포인트와 방법, 그리고 최고의 문제와 해결책을 제시합니다. 

출제자의 시각으로 문제 풀이 해법과 시험에 나올수 있는 문제를 변형하여 최적화된 시험 대비 능력을 제공하고, 학생과 선생님 모두 만족 수 있는 결과를 얻을 수 있도록 최선을 다해 교재를 제작합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- 현) 모자이크 대표
- 전) 목동하이스트 고등부
- 전) 정문학원 고등부
- 저서: 기적같은영문법(기탄출판), 헬로우그래머입문(천재교육), 문제로푸는영문법(디딤돌), 모자이크EBS변형문제(모자이크), 체크체크(천재교육), 기적같은영단어(기탄출판), 내공중학영단어(다락원), 기적같은영숙어(기탄출판) 외 다수","지학사, YBM"
시에나영어연구소,12672,sienalab,시에나영어연구소｜쏠북｜시험에 이렇게 나온다!,출제자의 시각으로 제시한 압도적 적중률,영어 (고등),시험에 이렇게 나온다!,"시에나영어연구소는 출제자의 시각으로 지문을 분석하고, 시험에 출제될 핵심 포인트를 분석노트와 워크북, 변형문제의 형태로 제시합니다. 압도적인 적중률을 보이는 최고의 영어 자료라 자부합니다.

분석지에는 주제, 제목, 요약, 어법, 어휘, 순서, 삽입 등 출제될 모든 가능성을 펼쳐 보여줍니다.

분석지를 바탕으로 서술형대비에 탁월한 워크북을 제공합니다.

분석지를 바탕으로 다양한 유형의 예상문제를 제공합니다. 평균 적중률은 90퍼센트를 상회합니다.

시에나영어연구소는 고퀄리티 수능/내신영어 1등급 컨텐츠를 제작하여 제공합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
다양한 유형의 콘텐츠 커리큘럼 제공","- 한국외대 영어학과 졸업
- 대치, 목동, 중계, 반포, 분당 지역 20년 이상 영어 강의 진행
- 미래엔 <N기출 고난도> 공동저자","수능/모의고사, EBS"
대치동 강한영어,13784,kanghan,"대치동 강한영어｜쏠북｜최고의 자료, 최고의 결과",대치동 영어강사 25년! 대치동 현강의 핵심을 담은 고난도 자료,영어 (중고등),"최고의 자료, 최고의 결과","대치동 강한영어는 대원국제중, 대원외고, 외대부고 등 최상위권 학생들을 위해 제작된 최고의 학습 자료입니다.

분석지를 통해 지문의 전체 구조를 파악하고, 세부적인 문장 분석으로 학생들이 내용을 깊이 이해할 수 있도록 돕습니다.

고난도 변형문제는 영영 풀이를 기반의 킬러 문제로, 철저한 이해를 바탕으로 응용력과 추론 능력을 극대화하는 직전 자료로 최고의 선택일 것입니다.

단순한 이해를 넘어 문제 해결 능력을 키우며, 선생님과 학생의 노력이 결과로 이어지는 든든한 동반자가 되어 드립니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- 대치동 영어강사 25년 경력
- 서울시립대학교 영문과 졸업
- TESOL UC Berkeley Riverside","EBS, NE능률, YBM"
최상위 영어,1429,btsm,최상위 영어｜쏠북｜기본이 갖춰진 컨텐츠,기본이 다른 영어 콘텐츠! 모든 유형을 가장 빠르고 풍부하게 제공합니다.,영어 (고등),기본이 갖춰진 컨텐츠,"최상위 영어는 기본이 갖춰진 콘텐츠를 제공하며,  가장 많이, 그리고 가장 빠르게 제공합니다.
단계별, 난이도별 그리고 유형별 자료를 모두 제공합니다. 

최상위영어 자료 특징

- 2~5등급 학생들에게 적합한 자료
- 시험대비 순서에 맞춘 3단계의 자료 구성, 각 단계별로 3~8개의 자료 제공
- 단계 별, 난이도 별 제공으로 수준과 학습 방식에 맞는 자료 선택 가능
- 각 자료는 독립적, 상호 보완적 모두 사용 가능
- 난이도가 높은 문제의 경우 해설 제공
- 유튜브를 통한 영상 제공","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
난이도 별, 유형 별 맞춤 콘텐츠 제공","- 서울대학교 교육학 전공, 영어교육 부전공
- 20년 이상 영어 강의 진행 (대치, 평촌 등)
- 최상위영어학원 운영
- EBS 봉투 모의고사 집필",YBM
ANC(앙크),14804,anc,ANC(앙크) ｜쏠북｜최고난도 변형문제의 정석,"시험에서 마주할 고난도 문제, 지금 미리 준비하세요",영어 (고등),최고 난도 변형문제의 Royal Road,"학생들이 시험에서 마주할 문제를 미리 경험하여, 완벽한 시험 준비를 가능하게 합니다.

학생들이 지문을 철저히 분석하고 이해하지 않으면 풀 수 없는 응용 문제를 제공하고,
기출 분석을 바탕으로 킬러 문항과 변형 문제를 엄선해 다양한 시각으로 문제를 분석하고 해결하는 능력을 키울 수 있습니다.

ANC(앙크)의 실제 시험 난도에 맞춘 단어와 문장 수준으로 구성된 자료로, 시험처럼 현실감 있게 학습하고 준비하세요.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 대치동, 송파구, 목동 최상위권 강의 15년, 일산 동구 학원 운영 15년",NE능률
탑그린영어,15733,topgreen,"탑그린영어｜쏠북ㅣ서술형의 강자, 탑그린영어! ",선생님들이 찾던 그 자료! 고난도 변형문제로 내신까지 완벽하게,영어 (고등),"서술형의 강자, 탑그린영어! ","학생들에게 중간/기말고사 예상문제 풀려보면 1등급 예상, 그런데 실제로 받아오는 점수는 대략 난감... 이런 경험 있으신가요? 

내신 대비 변형문제, 평이한 유형은 많은데 난이도 높은 변형문제는 구하기 어려우신가요?

그래서, 준비했습니다. 바로 이런 선생님들을 위한 탑그린영어 본문분석과 변형문제!

학군지 고등학교의 출제유형을 연구하고 분석, 반영하여 만들었습니다.

탑그린영어에서 만든 본문분석과 변형문제로 학생들의 성적을 쑥쑥 올려주세요!","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 한국외국어대학교 경제학과 졸업
- 해운선사 및 무역업체에서 해외영업/무역업무
- 전문 과외 강사 7년 및 서울 중계동에서 영어 강의 7년","수능/모의고사, EBS, NE능률"
이것영어,15922,tesle05,"이것영어｜쏠북｜이것이 진짜 영어다, 이것영어","학생을 위한 마음으로, 한 문장 한 문장 정성껏 만든 영어 자료",영어(고등),"이것이 진짜 영어다, 이것영어","학원 선생님의 설명 없이도 학생들이 스스로 이해할 수 있게 만들었으며, 선생님의 수업과 병행했을 때 더 높은 학습 효율을 내도록 제작하였습니다. 

문제풀이 후 오답 정리 및 단권화 용으로 사용하면 더욱 좋습니다.
해석이 어려운 학생들을 위해 끊어읽기가 되어 있고, 품사별 괄호 사용으로 이해를 돕습니다.
깔끔하지만 과하지 않은 색감과 인쇄시 과하게 잉크가 사용되지 않도록 고려하였습니다.

학생에게 직접 알려주듯 제작하고 있습니다. 더욱 발전하는 이것영어가 되겠습니다.","고등 1학년, 2학년 (내신 영어)","- 현) 명인학원
- 현) 문제선생 대표
- 전) 진학사 교재 검토단
- 전) 이투스 교재 검토단",NE능률
Brown영어,20150,brown,brown영어｜쏠북｜한장으로 끝내는 고난도 수능/모의고사 시리즈,"대치동, 목동 10년 노하우와 데이터가 담긴 고난도 실전 자료",영어 (고등),한장으로 끝내는 고난도 수능/모의고사 시리즈,"brown영어는 10년 간 대치동, 목동 등 중 고등부 입시 영어 수업을 통해 집약된 입시 노하우와 수능 등급별 외답 포인트 빅데이터를 자료에 담아냈습니다.

학생들이 흔히 실수하는 문제부터 킬러문제에 이르기까지 어법, 어휘, 유형별독해, 서술형을 한번에 해결합니다. 

ebs 인강 학습과 자료를 함께 활용하면 지문을 완벽히 이해할 수 있고 단시간에 3회독 이상의 효과를 발휘할 수 있습니다.

왜 brown영어인가?

- 내신과 수능실력을 한번에 완성한다. 전교1등부터 중위권 학생들까지 강사로서 대치동 목동 지방 우수인재들의 질문답변을 통해 집적한 빅데이터를 기반으로, 나만의 실수포인트, 킬러문항, 서술형을 정복해 나갈 수 있도록 구성
- 기존 ebs 수능 모고인강과 결합하여 1등급 완성을 위한 마지막 단계로서 활용되는 특급교재
- 학원샘들의 수업과 숙제확인 부담을 줄여주는 손필기 답안 제공
- 최근 3-4년분의 연속된 시리즈로 완결성 증대
- 출제자의 관점에서 바라볼 수 있는 모든 출제 요소를 한장으로 끝내는 워크북+변형문제 시리즈를 통해 나만의 킬포인트를 정복한다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
최상위권부터 하위권까지 등급 별 맞춤 콘텐츠 제공","- 현)최정서학원 원장
- 전)타임교육 영어연구소장
- 전)미래탐구 원장
- 전)목동하이스트 원장
- 전)레인보우 어학원장
- 전)마스터학원 원장
- 전)엘란프렙어학원 부원장
- 전)대치동 대찬학원 고등부 강사
- 전)목동미래타임 고등부 강사
- 전)elc어학원 중고등부 강사",NE능률
국밥맨,24176,cman96,국밥맨｜쏠북｜따뜻한 영어교육,"국밥처럼 든든한 영어 콘텐츠, 따뜻한 교육의 가치를 담았습니다.",영어 (고등),따뜻한 영어교육,국밥처럼 따뜻한 영어 교육을 위한 콘텐츠를 제작합니다.,"고등 1학년, 2학년 (내신 영어)",,EBS
아삭영어,257,desireofage,아삭영어｜쏠북｜식감좋은 영어학습,영어 맛집! 내신에 강한 무결점 영어 자료,영어 (중고등),식감좋은 영어학습,"아삭영어는요!

막연하게 열심히 반복하고 지루하게 학습하기보다는 손글씨 분석자료의 문장분석을 통해 내용을 이해하고 주요 구문을 정리합니다. 
문장의 흐름과 순서를 연상하면서 영작하는 연습을 통해 내신 대비는 물론 모의고사도 수월하게 준비할 수 있을 겁니다.

아삭영어 자료의 특징은? 

분량을 최소화시켜 출력시 페이지 부담과 학습량 부담을 줄였습니다.
기본이 되는 한줄해석 시리즈는 선생님들에게 부담 없는 수업 준비와 진행에 도움이 되며, 학생들은 동일한 포맷으로 제작되어 있는 복습 영역에 필기, 손글씨 분석자료, 복습용 유튜브 영상 등을 활용하여 복습의 효율성을 높일 수 있습니다.

유튜브 손글씨분석자료는 교과서 각 과당 10분, 20분으로 정리되어 있으며 모의고사는 한 문제에 2분에서 5분으로 정리되어 있습니다. 자료와 영상을 함께 활용하여 복습 시간을 효율적으로 확보하고 활용해보세요.

영어의 입맛을 잃었을 때 기억하세요, 식감 좋은 영어학습 아삭 영어입니다. ","고등 1학년, 2학년 (내신 영어)
중등 영어 ","- 연세대 경제학과 최우등 졸업
- 영어강사 경력 25년 이상 (최상위권, 최하위권, 특목고반 위주 지도)
- 아삭영어수학학원 대표원장","쎄듀, 수능/모의고사, 다락원, 미래엔, 지학사, 비상교육, 천재교육, 금성출판사, 동아출판사, EBS, NE능률, YBM"
